model,prompt_family,budget_chars,fact_type,coarse_group,n_pairs,mean_crs,median_crs,frac_positive
minimax,general_task_agnostic,1500,ACTION_OUTCOME,EXECUTABLE,11,0.0,0.0,0.0
minimax,general_task_agnostic,1500,API_SCHEMA_OR_PARAMETER,EXECUTABLE,35,0.0,0.0,0.0
minimax,general_task_agnostic,1500,AUTH_OR_ACCESS_TOKEN,EXECUTABLE,39,0.0,0.0,0.0
minimax,general_task_agnostic,1500,ENVIRONMENT_STATE,TASK_STATE,1,0.0,0.0,0.0
minimax,general_task_agnostic,1500,EXACT_IDENTIFIER,EXECUTABLE,13,0.0,0.0,0.0
minimax,general_task_agnostic,1500,FILE_PATH_OR_RESOURCE_LOCATOR,EXECUTABLE,1,0.0,0.0,0.0
minimax,general_task_agnostic,1500,NARRATIVE_GOAL,NARRATIVE,1,0.0,0.0,0.0
minimax,general_task_agnostic,1500,NARRATIVE_PROGRESS,NARRATIVE,3,0.0,0.0,0.0
minimax,general_task_agnostic,1500,NEGATIVE_EVIDENCE_OR_FAILED_ATTEMPT,CONTROL,20,0.0,0.0,0.0
minimax,general_task_agnostic,1500,NUMERIC_OR_DATE_LITERAL,EXECUTABLE,4,0.0,0.0,0.0
minimax,general_task_agnostic,1500,RUNTIME_VARIABLE,EXECUTABLE,17,0.0,0.0,0.0
minimax,general_task_aware,1500,ACTION_OUTCOME,EXECUTABLE,11,0.36363636363636365,0.0,0.36363636363636365
minimax,general_task_aware,1500,API_SCHEMA_OR_PARAMETER,EXECUTABLE,35,0.18857142857142856,0.0,0.2571428571428571
minimax,general_task_aware,1500,AUTH_OR_ACCESS_TOKEN,EXECUTABLE,39,0.19487179487179487,0.0,0.20512820512820512
minimax,general_task_aware,1500,ENVIRONMENT_STATE,TASK_STATE,1,0.0,0.0,0.0
minimax,general_task_aware,1500,EXACT_IDENTIFIER,EXECUTABLE,13,0.0,0.0,0.07692307692307693
minimax,general_task_aware,1500,FILE_PATH_OR_RESOURCE_LOCATOR,EXECUTABLE,1,0.0,0.0,0.0
minimax,general_task_aware,1500,NARRATIVE_GOAL,NARRATIVE,1,0.0,0.0,0.0
minimax,general_task_aware,1500,NARRATIVE_PROGRESS,NARRATIVE,3,0.5333333333333333,0.6,0.6666666666666666
minimax,general_task_aware,1500,NEGATIVE_EVIDENCE_OR_FAILED_ATTEMPT,CONTROL,20,0.09,0.0,0.2
minimax,general_task_aware,1500,NUMERIC_OR_DATE_LITERAL,EXECUTABLE,4,0.25,0.0,0.25
minimax,general_task_aware,1500,RUNTIME_VARIABLE,EXECUTABLE,17,0.014705882352941176,0.0,0.11764705882352941
qwen,general_task_agnostic,1500,ACTION_OUTCOME,EXECUTABLE,11,0.0,0.0,0.0
qwen,general_task_agnostic,1500,API_SCHEMA_OR_PARAMETER,EXECUTABLE,35,0.0,0.0,0.0
qwen,general_task_agnostic,1500,AUTH_OR_ACCESS_TOKEN,EXECUTABLE,39,0.0,0.0,0.0
qwen,general_task_agnostic,1500,ENVIRONMENT_STATE,TASK_STATE,1,0.0,0.0,0.0
qwen,general_task_agnostic,1500,EXACT_IDENTIFIER,EXECUTABLE,13,-0.07692307692307693,0.0,0.0
qwen,general_task_agnostic,1500,FILE_PATH_OR_RESOURCE_LOCATOR,EXECUTABLE,1,0.0,0.0,0.0
qwen,general_task_agnostic,1500,NARRATIVE_GOAL,NARRATIVE,1,0.0,0.0,0.0
qwen,general_task_agnostic,1500,NARRATIVE_PROGRESS,NARRATIVE,3,0.0,0.0,0.0
qwen,general_task_agnostic,1500,NEGATIVE_EVIDENCE_OR_FAILED_ATTEMPT,CONTROL,20,-0.05,0.0,0.0
qwen,general_task_agnostic,1500,NUMERIC_OR_DATE_LITERAL,EXECUTABLE,4,0.0,0.0,0.0
qwen,general_task_agnostic,1500,RUNTIME_VARIABLE,EXECUTABLE,17,0.0,0.0,0.0
qwen,general_task_aware,1500,ACTION_OUTCOME,EXECUTABLE,11,-0.09090909090909091,0.0,0.09090909090909091
qwen,general_task_aware,1500,API_SCHEMA_OR_PARAMETER,EXECUTABLE,35,-0.02857142857142857,0.0,0.11428571428571428
qwen,general_task_aware,1500,AUTH_OR_ACCESS_TOKEN,EXECUTABLE,39,0.3076923076923077,0.0,0.358974358974359
qwen,general_task_aware,1500,ENVIRONMENT_STATE,TASK_STATE,1,0.0,0.0,0.0
qwen,general_task_aware,1500,EXACT_IDENTIFIER,EXECUTABLE,13,0.07692307692307693,0.0,0.15384615384615385
qwen,general_task_aware,1500,FILE_PATH_OR_RESOURCE_LOCATOR,EXECUTABLE,1,0.0,0.0,0.0
qwen,general_task_aware,1500,NARRATIVE_GOAL,NARRATIVE,1,0.0,0.0,0.0
qwen,general_task_aware,1500,NARRATIVE_PROGRESS,NARRATIVE,3,0.0,0.0,0.0
qwen,general_task_aware,1500,NEGATIVE_EVIDENCE_OR_FAILED_ATTEMPT,CONTROL,20,0.175,0.0,0.2
qwen,general_task_aware,1500,NUMERIC_OR_DATE_LITERAL,EXECUTABLE,4,0.25,0.0,0.25
qwen,general_task_aware,1500,RUNTIME_VARIABLE,EXECUTABLE,17,0.17647058823529413,0.0,0.23529411764705882
