task_id,case_id,difficulty,category,added_item,grounded_in_baseline,criticality,is_actionable,already_present_in_acon,baseline_evidence,audit_augmented_excerpt
4fab96f_1,4fab96f_1_cap8,hard,environment_state,"ENVIRONMENT_STATE liked_songs={1,2,3}, deleted_files=[...]",False,low,False,False,,"ENVIRONMENT_STATE liked_songs={1,2,3}, deleted_files=[...]"
4fab96f_1,4fab96f_1_cap8,hard,negative_evidence,NEGATIVE_EVIDENCE apis.X.Y returned empty; that path is a dead end,False,low,False,False,,NEGATIVE_EVIDENCE apis.X.Y returned empty; that path is a dead end
4fab96f_1,4fab96f_1_cap8,hard,pending_task,PENDING_SUBTASK still need to like songs from artist_id=20,False,low,False,False,,PENDING_SUBTASK still need to like songs from artist_id=20
4fab96f_1,4fab96f_1_cap8,hard,other,"OTHER current date: May 18, 2023",True,medium,True,True,"DATES, amounts, quantities: Current date: May 18, 2023","OTHER current date: May 18, 2023"
b119b1f_2,b119b1f_2_cap8,hard,auth,"AUTH_CREDENTIAL spotify_password=""=oskMku""",True,high,True,False,"step 3: print(apis.supervisor.show_account_passwords()) output includes ""account_name"": ""spotify"", ""password"": ""=oskMku""","- AUTH_CREDENTIAL spotify_password=""=oskMku""  // from supervisor password list"
b119b1f_2,b119b1f_2_cap8,hard,runtime_variable,"RUNTIME_VARIABLE access_token=""eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJzdWIiOiJzcG90aWZ5K2FuLWhhcnJpc29uQGdtYWlsLmNvbSIsImV4cCI6MTY4NDQxMjczMX0.oJSxfMZTBDm6xjUjK-PvWOXzczLsBwK3xm0iOeW-BV4""",True,high,True,False,step 18: result = apis.spotify.login(...) returns access_token,"- RUNTIME_VARIABLE access_token=""eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJzdWIiOiJzcG90aWZ5K2FuLWhhcnJpc29uQGdtYWlsLmNvbSIsImV4cCI6MTY4NDQxMjczMX0.oJSxfMZTBDm6xjUjK-PvWOXzczLsBwK3xm0iOeW-BV4""  // from successful login"
b119b1f_2,b119b1f_2_cap8,hard,api_schema,"API_SCHEMA apis.spotify.play_music(song_id=1, access_token=access_token)",True,medium,True,False,step 17: API documentation for next_song requires access_token,"- API_SCHEMA apis.spotify.play_music(song_id=1, access_token=access_token)  // explicit token parameter required"
b119b1f_2,b119b1f_2_cap8,hard,action_outcome,ACTION_OUTCOME step 19 succeeded with token=access_token,True,medium,True,False,"step 19: print(apis.spotify.play_music(song_id=1, access_token=access_token)) returns success",- ACTION_OUTCOME step 19 succeeded with token=access_token  // successful play_music with token
b119b1f_2,b119b1f_2_cap8,hard,action_outcome,ACTION_OUTCOME step 20 showed song_id=1 with artists including Jasper Skye,True,medium,True,False,step 20: print(apis.spotify.show_current_song(...)) returns song details,- ACTION_OUTCOME step 20 showed song_id=1 with artists including Jasper Skye  // confirmed current song details
b119b1f_2,b119b1f_2_cap8,hard,action_outcome,ACTION_OUTCOME step 21 moved to song_id=240,True,medium,True,False,step 21: print(apis.spotify.next_song(...)) returns song_id=240,- ACTION_OUTCOME step 21 moved to song_id=240  // next song in queue
