model,prompt_family,init_type,condition_type,fact_type,coarse_group,half_life,half_life_censored,n_rounds,final_survival
minimax,general_task_agnostic,RAW_FULL,task_agnostic,ACTION_OUTCOME,EXECUTABLE,7,True,6,0.6666666666666666
minimax,general_task_agnostic,RAW_FULL,task_agnostic,API_SCHEMA_OR_PARAMETER,EXECUTABLE,2,False,6,0.14814814814814814
minimax,general_task_agnostic,RAW_FULL,task_agnostic,AUTH_OR_ACCESS_TOKEN,EXECUTABLE,2,False,6,0.26666666666666666
minimax,general_task_agnostic,RAW_FULL,task_agnostic,COMPLETED_SUBTASK,TASK_STATE,7,True,6,1.0
minimax,general_task_agnostic,RAW_FULL,task_agnostic,ENVIRONMENT_STATE,TASK_STATE,7,True,6,1.0
minimax,general_task_agnostic,RAW_FULL,task_agnostic,EXACT_IDENTIFIER,EXECUTABLE,7,True,6,0.75
minimax,general_task_agnostic,RAW_FULL,task_agnostic,NARRATIVE_GOAL,NARRATIVE,7,True,6,1.0
minimax,general_task_agnostic,RAW_FULL,task_agnostic,NARRATIVE_PROGRESS,NARRATIVE,4,False,6,0.5
minimax,general_task_agnostic,RAW_FULL,task_agnostic,NEGATIVE_EVIDENCE_OR_FAILED_ATTEMPT,CONTROL,1,False,6,0.08333333333333333
minimax,general_task_agnostic,RAW_FULL,task_agnostic,NUMERIC_OR_DATE_LITERAL,EXECUTABLE,7,True,6,1.0
minimax,general_task_agnostic,RAW_FULL,task_agnostic,RUNTIME_VARIABLE,EXECUTABLE,6,False,6,0.5
minimax,general_task_aware,DETAIL_HEAVY,needed,ACTION_OUTCOME,EXECUTABLE,1,False,6,0.5
minimax,general_task_aware,DETAIL_HEAVY,needed,API_SCHEMA_OR_PARAMETER,EXECUTABLE,7,True,6,0.6428571428571429
minimax,general_task_aware,DETAIL_HEAVY,needed,AUTH_OR_ACCESS_TOKEN,EXECUTABLE,4,False,6,0.45
minimax,general_task_aware,DETAIL_HEAVY,needed,COMPLETED_SUBTASK,TASK_STATE,7,True,6,0.6666666666666666
minimax,general_task_aware,DETAIL_HEAVY,needed,ENVIRONMENT_STATE,TASK_STATE,7,True,6,1.0
minimax,general_task_aware,DETAIL_HEAVY,needed,EXACT_IDENTIFIER,EXECUTABLE,7,True,6,0.5833333333333334
minimax,general_task_aware,DETAIL_HEAVY,needed,NARRATIVE_PROGRESS,NARRATIVE,1,False,6,1.0
minimax,general_task_aware,DETAIL_HEAVY,needed,NEGATIVE_EVIDENCE_OR_FAILED_ATTEMPT,CONTROL,7,True,6,0.5625
minimax,general_task_aware,DETAIL_HEAVY,needed,NUMERIC_OR_DATE_LITERAL,EXECUTABLE,7,True,6,0.8333333333333334
minimax,general_task_aware,DETAIL_HEAVY,needed,RUNTIME_VARIABLE,EXECUTABLE,5,False,6,0.4375
minimax,general_task_aware,FACT_TABLE_ONLY,needed,ACTION_OUTCOME,EXECUTABLE,3,False,6,0.5
minimax,general_task_aware,FACT_TABLE_ONLY,needed,API_SCHEMA_OR_PARAMETER,EXECUTABLE,7,True,6,1.0
minimax,general_task_aware,FACT_TABLE_ONLY,needed,AUTH_OR_ACCESS_TOKEN,EXECUTABLE,7,True,6,0.85
minimax,general_task_aware,FACT_TABLE_ONLY,needed,COMPLETED_SUBTASK,TASK_STATE,7,True,6,1.0
minimax,general_task_aware,FACT_TABLE_ONLY,needed,ENVIRONMENT_STATE,TASK_STATE,7,True,6,1.0
minimax,general_task_aware,FACT_TABLE_ONLY,needed,EXACT_IDENTIFIER,EXECUTABLE,7,True,6,0.8333333333333334
minimax,general_task_aware,FACT_TABLE_ONLY,needed,NARRATIVE_PROGRESS,NARRATIVE,2,False,6,0.5
minimax,general_task_aware,FACT_TABLE_ONLY,needed,NEGATIVE_EVIDENCE_OR_FAILED_ATTEMPT,CONTROL,7,True,6,0.9375
minimax,general_task_aware,FACT_TABLE_ONLY,needed,NUMERIC_OR_DATE_LITERAL,EXECUTABLE,7,True,6,1.0
minimax,general_task_aware,FACT_TABLE_ONLY,needed,RUNTIME_VARIABLE,EXECUTABLE,7,True,6,0.9375
minimax,general_task_aware,NARRATIVE_HEAVY,needed,ACTION_OUTCOME,EXECUTABLE,4,False,6,0.5
minimax,general_task_aware,NARRATIVE_HEAVY,needed,API_SCHEMA_OR_PARAMETER,EXECUTABLE,1,False,6,0.35714285714285715
minimax,general_task_aware,NARRATIVE_HEAVY,needed,AUTH_OR_ACCESS_TOKEN,EXECUTABLE,3,False,6,0.3
minimax,general_task_aware,NARRATIVE_HEAVY,needed,COMPLETED_SUBTASK,TASK_STATE,7,True,6,0.6666666666666666
minimax,general_task_aware,NARRATIVE_HEAVY,needed,ENVIRONMENT_STATE,TASK_STATE,4,False,6,0.0
minimax,general_task_aware,NARRATIVE_HEAVY,needed,EXACT_IDENTIFIER,EXECUTABLE,7,True,6,0.5833333333333334
minimax,general_task_aware,NARRATIVE_HEAVY,needed,NARRATIVE_PROGRESS,NARRATIVE,1,False,6,0.0
minimax,general_task_aware,NARRATIVE_HEAVY,needed,NEGATIVE_EVIDENCE_OR_FAILED_ATTEMPT,CONTROL,1,False,6,0.1875
minimax,general_task_aware,NARRATIVE_HEAVY,needed,NUMERIC_OR_DATE_LITERAL,EXECUTABLE,7,True,6,1.0
minimax,general_task_aware,NARRATIVE_HEAVY,needed,RUNTIME_VARIABLE,EXECUTABLE,7,True,6,0.75
minimax,general_task_aware,RAW_FULL,needed,ACTION_OUTCOME,EXECUTABLE,7,True,6,0.6153846153846154
minimax,general_task_aware,RAW_FULL,needed,API_SCHEMA_OR_PARAMETER,EXECUTABLE,3,False,6,0.3170731707317073
minimax,general_task_aware,RAW_FULL,needed,AUTH_OR_ACCESS_TOKEN,EXECUTABLE,5,False,6,0.46
minimax,general_task_aware,RAW_FULL,needed,COMPLETED_SUBTASK,TASK_STATE,7,True,6,0.6666666666666666
minimax,general_task_aware,RAW_FULL,needed,ENVIRONMENT_STATE,TASK_STATE,7,True,6,1.0
minimax,general_task_aware,RAW_FULL,needed,EXACT_IDENTIFIER,EXECUTABLE,7,True,6,0.8571428571428571
minimax,general_task_aware,RAW_FULL,needed,NARRATIVE_GOAL,NARRATIVE,7,True,6,1.0
minimax,general_task_aware,RAW_FULL,needed,NARRATIVE_PROGRESS,NARRATIVE,1,False,6,0.3333333333333333
minimax,general_task_aware,RAW_FULL,needed,NEGATIVE_EVIDENCE_OR_FAILED_ATTEMPT,CONTROL,1,False,6,0.2
minimax,general_task_aware,RAW_FULL,needed,NUMERIC_OR_DATE_LITERAL,EXECUTABLE,7,True,6,0.9166666666666666
minimax,general_task_aware,RAW_FULL,needed,RUNTIME_VARIABLE,EXECUTABLE,7,True,6,0.6428571428571429
minimax,general_task_aware,RAW_FULL,unneeded,ACTION_OUTCOME,EXECUTABLE,1,False,6,0.1111111111111111
minimax,general_task_aware,RAW_FULL,unneeded,API_SCHEMA_OR_PARAMETER,EXECUTABLE,2,False,6,0.4074074074074074
minimax,general_task_aware,RAW_FULL,unneeded,AUTH_OR_ACCESS_TOKEN,EXECUTABLE,2,False,6,0.26666666666666666
minimax,general_task_aware,RAW_FULL,unneeded,COMPLETED_SUBTASK,TASK_STATE,2,False,6,0.6666666666666666
minimax,general_task_aware,RAW_FULL,unneeded,ENVIRONMENT_STATE,TASK_STATE,3,False,6,0.0
minimax,general_task_aware,RAW_FULL,unneeded,EXACT_IDENTIFIER,EXECUTABLE,7,True,6,0.6875
minimax,general_task_aware,RAW_FULL,unneeded,NARRATIVE_GOAL,NARRATIVE,3,False,6,1.0
minimax,general_task_aware,RAW_FULL,unneeded,NARRATIVE_PROGRESS,NARRATIVE,1,False,6,0.25
minimax,general_task_aware,RAW_FULL,unneeded,NEGATIVE_EVIDENCE_OR_FAILED_ATTEMPT,CONTROL,1,False,6,0.08333333333333333
