context_id,budget,source_agent,target_agent,action_match_self,action_match_cross,task_drop,policy_divergence
longmemeval::f0853d11,128,A_react,A_plan,1.0,1.0,0.0,1.0
longmemeval::f0853d11,128,A_react,A_cot,0.0,0.0,0.0,1.0
longmemeval::f0853d11,128,A_plan,A_react,0.0,1.0,-1.0,0.9375
longmemeval::f0853d11,128,A_plan,A_cot,0.0,0.0,0.0,1.0
longmemeval::f0853d11,128,A_cot,A_react,0.0,0.0,0.0,1.0
longmemeval::f0853d11,128,A_cot,A_plan,1.0,0.0,1.0,1.0
longmemeval::f0853d11,256,A_react,A_plan,0.0,0.0,0.0,1.0
longmemeval::f0853d11,256,A_react,A_cot,1.0,0.0,1.0,1.0
longmemeval::f0853d11,256,A_plan,A_react,0.0,0.0,0.0,0.9375
longmemeval::f0853d11,256,A_plan,A_cot,1.0,0.0,1.0,1.0
longmemeval::f0853d11,256,A_cot,A_react,0.0,0.0,0.0,1.0
longmemeval::f0853d11,256,A_cot,A_plan,0.0,1.0,-1.0,1.0
longmemeval::f0853d11,512,A_react,A_plan,0.0,0.0,0.0,1.0
longmemeval::f0853d11,512,A_react,A_cot,0.0,0.0,0.0,1.0
longmemeval::f0853d11,512,A_plan,A_react,0.0,0.0,0.0,0.9375
longmemeval::f0853d11,512,A_plan,A_cot,0.0,0.0,0.0,1.0
longmemeval::f0853d11,512,A_cot,A_react,0.0,0.0,0.0,1.0
longmemeval::f0853d11,512,A_cot,A_plan,0.0,0.0,0.0,1.0
longmemeval::f0853d11,1024,A_react,A_plan,1.0,1.0,0.0,1.0
longmemeval::f0853d11,1024,A_react,A_cot,1.0,1.0,0.0,1.0
longmemeval::f0853d11,1024,A_plan,A_react,0.0,1.0,-1.0,0.9375
longmemeval::f0853d11,1024,A_plan,A_cot,1.0,1.0,0.0,1.0
longmemeval::f0853d11,1024,A_cot,A_react,0.0,0.0,0.0,1.0
longmemeval::f0853d11,1024,A_cot,A_plan,1.0,1.0,0.0,1.0
longmemeval::gpt4_6ed717ea,128,A_react,A_plan,0.0,0.0,0.0,0.9375
longmemeval::gpt4_6ed717ea,128,A_react,A_cot,0.0,0.0,0.0,1.0
longmemeval::gpt4_6ed717ea,128,A_plan,A_react,0.0,1.0,-1.0,0.8125
longmemeval::gpt4_6ed717ea,128,A_plan,A_cot,0.0,0.0,0.0,1.0
longmemeval::gpt4_6ed717ea,128,A_cot,A_react,0.0,0.0,0.0,1.0
longmemeval::gpt4_6ed717ea,128,A_cot,A_plan,0.0,0.0,0.0,1.0
longmemeval::gpt4_6ed717ea,256,A_react,A_plan,0.0,0.0,0.0,0.9375
longmemeval::gpt4_6ed717ea,256,A_react,A_cot,0.0,0.0,0.0,1.0
longmemeval::gpt4_6ed717ea,256,A_plan,A_react,0.0,1.0,-1.0,0.8125
longmemeval::gpt4_6ed717ea,256,A_plan,A_cot,0.0,0.0,0.0,1.0
longmemeval::gpt4_6ed717ea,256,A_cot,A_react,0.0,0.0,0.0,1.0
longmemeval::gpt4_6ed717ea,256,A_cot,A_plan,0.0,0.0,0.0,1.0
longmemeval::gpt4_6ed717ea,512,A_react,A_plan,0.0,0.0,0.0,0.9375
longmemeval::gpt4_6ed717ea,512,A_react,A_cot,0.0,0.0,0.0,1.0
longmemeval::gpt4_6ed717ea,512,A_plan,A_react,0.0,0.0,0.0,0.8125
longmemeval::gpt4_6ed717ea,512,A_plan,A_cot,0.0,0.0,0.0,1.0
longmemeval::gpt4_6ed717ea,512,A_cot,A_react,1.0,0.0,1.0,1.0
longmemeval::gpt4_6ed717ea,512,A_cot,A_plan,0.0,0.0,0.0,1.0
longmemeval::gpt4_6ed717ea,1024,A_react,A_plan,0.0,0.0,0.0,0.9375
longmemeval::gpt4_6ed717ea,1024,A_react,A_cot,0.0,0.0,0.0,1.0
longmemeval::gpt4_6ed717ea,1024,A_plan,A_react,0.0,0.0,0.0,0.8125
longmemeval::gpt4_6ed717ea,1024,A_plan,A_cot,0.0,0.0,0.0,1.0
longmemeval::gpt4_6ed717ea,1024,A_cot,A_react,0.0,0.0,0.0,1.0
longmemeval::gpt4_6ed717ea,1024,A_cot,A_plan,0.0,0.0,0.0,1.0
longmemeval::a3838d2b,128,A_react,A_plan,0.0,0.0,0.0,1.0
longmemeval::a3838d2b,128,A_react,A_cot,0.0,0.0,0.0,1.0
longmemeval::a3838d2b,128,A_plan,A_react,0.0,0.0,0.0,1.0
longmemeval::a3838d2b,128,A_plan,A_cot,0.0,0.0,0.0,1.0
longmemeval::a3838d2b,128,A_cot,A_react,0.0,0.0,0.0,0.0
longmemeval::a3838d2b,128,A_cot,A_plan,0.0,0.0,0.0,1.0
longmemeval::a3838d2b,256,A_react,A_plan,0.0,0.0,0.0,1.0
longmemeval::a3838d2b,256,A_react,A_cot,0.0,0.0,0.0,1.0
longmemeval::a3838d2b,256,A_plan,A_react,0.0,0.0,0.0,1.0
longmemeval::a3838d2b,256,A_plan,A_cot,0.0,0.0,0.0,1.0
longmemeval::a3838d2b,256,A_cot,A_react,0.0,0.0,0.0,0.0
longmemeval::a3838d2b,256,A_cot,A_plan,0.0,0.0,0.0,1.0
longmemeval::a3838d2b,512,A_react,A_plan,0.0,0.0,0.0,1.0
longmemeval::a3838d2b,512,A_react,A_cot,0.0,0.0,0.0,1.0
longmemeval::a3838d2b,512,A_plan,A_react,0.0,0.0,0.0,1.0
longmemeval::a3838d2b,512,A_plan,A_cot,0.0,0.0,0.0,1.0
longmemeval::a3838d2b,512,A_cot,A_react,0.0,0.0,0.0,0.0
longmemeval::a3838d2b,512,A_cot,A_plan,0.0,0.0,0.0,1.0
longmemeval::a3838d2b,1024,A_react,A_plan,0.0,0.0,0.0,1.0
longmemeval::a3838d2b,1024,A_react,A_cot,0.0,0.0,0.0,1.0
longmemeval::a3838d2b,1024,A_plan,A_react,0.0,0.0,0.0,1.0
longmemeval::a3838d2b,1024,A_plan,A_cot,0.0,0.0,0.0,1.0
longmemeval::a3838d2b,1024,A_cot,A_react,0.0,0.0,0.0,0.0
longmemeval::a3838d2b,1024,A_cot,A_plan,0.0,0.0,0.0,1.0
longmemeval::gpt4_93159ced,128,A_react,A_plan,1.0,0.0,1.0,0.8666666666666667
longmemeval::gpt4_93159ced,128,A_react,A_cot,0.0,0.0,0.0,0.5625
